Year,Cause Name,State,Deaths,Age-adjusted Death Rate
2006,All causes,Alaska,3354,787.6
2016,All causes,Alabama,52466,920.4
2015,All causes,Alabama,51909,924.5
2014,All causes,Alabama,50215,909.1
2013,All causes,Alabama,50189,925.2
2012,All causes,Alabama,49301,926.7
2011,All causes,Alabama,48681,933.6
2010,All causes,Alabama,48038,939.7
2009,All causes,Alabama,47470,940.2
2008,All causes,Alabama,47707,959.7
2007,All causes,Alabama,46696,957.2
2006,All causes,Alabama,46977,979.5
2005,All causes,Alabama,47090,1001.3
2004,All causes,Alabama,46121,998.3
2003,All causes,Alabama,46716,1020.2
2002,All causes,Alabama,46069,1013.4
2001,All causes,Alabama,45316,1002.1
2000,All causes,Alabama,45062,1004.8
1999,All causes,Alabama,44806,1009.3
2016,All causes,Alaska,4494,745.6
2015,All causes,Alaska,4316,747.4
2014,All causes,Alaska,4128,736.8
2013,All causes,Alaska,3997,724.4
2012,All causes,Alaska,3912,731.4
2011,All causes,Alaska,3849,747.8
2010,All causes,Alaska,3728,771.5
2009,All causes,Alaska,3618,763.8
2008,All causes,Alaska,3494,761.3
2007,All causes,Alaska,3463,780.6
2005,All causes,Alaska,3168,762.3
2004,All causes,Alaska,3051,756.7
2003,All causes,Alaska,3180,843.5
2002,All causes,Alaska,3030,802.4
2001,All causes,Alaska,2974,831.3
2000,All causes,Alaska,2914,869.1
1999,All causes,Alaska,2708,838.9
2016,All causes,Arizona,56645,675.8
2015,All causes,Arizona,54299,671.8
2014,All causes,Arizona,51538,661.7
2013,All causes,Arizona,50534,674.2
2012,All causes,Arizona,49549,682.9
2011,All causes,Arizona,48381,688.9
2010,All causes,Arizona,46762,693.1
2009,All causes,Arizona,45816,693.8
2008,All causes,Arizona,45823,714.5
2007,All causes,Arizona,45554,731.0
2006,All causes,Arizona,46365,767.1
2005,All causes,Arizona,45827,786.7
2004,All causes,Arizona,43198,771.1
2003,All causes,Arizona,43392,798.4
2002,All causes,Arizona,42816,811.2
2001,All causes,Arizona,41058,795.9
2000,All causes,Arizona,40500,810.4
1999,All causes,Arizona,40050,818.4
2016,All causes,Arkansas,31756,893.2
2015,All causes,Arkansas,31617,901.8
2014,All causes,Arkansas,30467,883.7
2013,All causes,Arkansas,30437,893.8
2012,All causes,Arkansas,30117,897.5
2011,All causes,Arkansas,29653,895.3
2010,All causes,Arkansas,28916,892.7
2009,All causes,Arkansas,28673,896.4
2008,All causes,Arkansas,29322,927.3
2007,All causes,Arkansas,28191,906.2
2006,All causes,Arkansas,27901,909.5
2005,All causes,Arkansas,28055,931.5
2004,All causes,Arkansas,27528,927.4
2003,All causes,Arkansas,27918,948.2
2002,All causes,Arkansas,28513,975.2
